"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.471984694E0,4.399999976E-1,1.085299969E1,1.065000057E0
3.491984694E0,-3.249999881E-1,1.179100037E1,2.769000053E0
3.511984694E0,1.396999955E0,1.154199982E1,2.615999937E0
3.531984694E0,3.082000017E0,1.173400021E1,1.735000014E0
3.551984694E0,1.703999996E0,1.259500027E1,1.677999973E0
3.571984694E0,8.040000200E-1,1.454899979E1,2.042000055E0
3.591984694E0,9.179999828E-1,1.171500015E1,1.270000041E-1
3.611984694E0,3.249999881E-1,9.800000191E0,-1.251000047E0
3.631984694E0,-3.829999864E-1,8.000000000E0,-3.434000015E0
3.651984694E0,-1.205999970E0,6.774000168E0,-3.835999966E0
3.671984694E0,-1.090999961E0,6.985000134E0,-8.109999895E-1
3.691984694E0,-7.850000262E-1,8.383000374E0,8.349999785E-1
3.711984694E0,8.230000138E-1,1.071899986E1,1.830999970E0
3.731984694E0,1.779999971E0,1.207800007E1,1.179999948E0
3.751984694E0,1.838000059E0,1.230799961E1,6.050000191E-1
3.771984694E0,7.080000043E-1,9.876000404E0,6.819999814E-1
3.791984694E0,9.499999881E-2,7.328999996E0,7.200000286E-1
3.811984694E0,-1.529999971E-1,6.160999775E0,3.759999871E-1
3.831984694E0,-1.340000033E-1,6.774000168E0,6.240000129E-1
3.851984694E0,-5.740000010E-1,8.364000320E0,1.600999951E0
3.871984694E0,-1.129999995E0,8.574000359E0,1.945999980E0
3.891984694E0,-1.187000036E0,7.980999947E0,2.213999987E0
3.911984694E0,-5.360000134E-1,7.387000084E0,2.539000034E0
3.931984694E0,1.909999996E-1,7.387000084E0,3.095000029E0
3.951984694E0,5.350000262E-1,7.866000175E0,3.266999960E0
3.971984694E0,7.269999981E-1,8.861000061E0,3.171000004E0
3.991984694E0,6.690000296E-1,9.760999680E0,2.865000010E0
4.011984694E0,8.989999890E-1,1.014400005E1,1.927000046E0
4.031984694E0,1.838000059E0,1.045100021E1,2.921999931E0
4.051984694E0,7.839999795E-1,1.060400009E1,2.693000078E0
4.071984694E0,-1.302000046E0,1.177200031E1,1.812000036E0
4.091984694E0,-1.358999968E0,1.456799984E1,1.792999983E0
4.111984694E0,-2.891000032E0,1.590799999E1,2.730999947E0
4.131984694E0,-1.626999974E0,1.554399967E1,2.098999977E0
4.151984694E0,-2.871999979E0,1.192500019E1,2.419999987E-1
4.171984694E0,-2.507999897E0,5.548999786E0,3.370000124E-1
4.191984694E0,1.330000013E-1,2.062999964E0,-1.347000003E0
4.211984694E0,8.230000138E-1,3.882999897E0,-2.094000101E0
4.231984694E0,1.455000043E0,6.927000046E0,-7.530000210E-1
4.251984694E0,-2.300000042E-1,1.016399956E1,-8.299999684E-2
4.271984694E0,-2.948999882E0,1.232699966E1,1.199000001E0
4.291984694E0,-3.312999964E0,1.081499958E1,1.429000020E0
4.311984694E0,-4.020000100E-1,8.076000214E0,1.218000054E0
4.331984694E0,1.493000031E0,7.138000011E0,1.046000004E0
4.351984694E0,2.200999975E0,6.563000202E0,7.200000286E-1
4.371984694E0,1.511999965E0,7.060999870E0,3.370000124E-1
4.391984694E0,5.740000010E-1,8.267999649E0,8.799999952E-2
4.411984694E0,6.119999886E-1,9.435999870E0,5.860000253E-1
4.431984694E0,1.741999984E0,9.416999817E0,1.006999969E0
4.451984694E0,2.891000032E0,8.574000359E0,1.351999998E0
